Channel Id,Channel Url,Channel Title
UCqVEHtQoXHmUCfJ-9smpTSg,http://www.youtube.com/channel/UCqVEHtQoXHmUCfJ-9smpTSg,Answer in Progress
UCqddQRq9NEI2Jcu3LIYK5jg,http://www.youtube.com/channel/UCqddQRq9NEI2Jcu3LIYK5jg,Spill Poetry
UCqmugCqELzhIMNYnsjScXXw,http://www.youtube.com/channel/UCqmugCqELzhIMNYnsjScXXw,Vsauce2
UCrdWRLq10OHuy7HmSckV3Vg,http://www.youtube.com/channel/UCrdWRLq10OHuy7HmSckV3Vg,Nathaniel Drew
UCsT0YIqwnpJCM-mx7-gSA4Q,http://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks
UCsXVk37bltHxD1rDPwtNM8Q,http://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell
UCsooa4yRKGN_zEE8iknghZA,http://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA,TED-Ed
UCtkJN6t1eLLx7NqqJhpXK7A,http://www.youtube.com/channel/UCtkJN6t1eLLx7NqqJhpXK7A,Kristen Leo
UCtl9UfBhelkEQjVR2BsDZdw,http://www.youtube.com/channel/UCtl9UfBhelkEQjVR2BsDZdw,AsTer Diaries
UCu4ztYtW-Bg1KIfcLAULtVQ,http://www.youtube.com/channel/UCu4ztYtW-Bg1KIfcLAULtVQ,Data Structure by Saurabh Shukla Sir
UCuohk5l3YccVaa-TVjlwLdQ,http://www.youtube.com/channel/UCuohk5l3YccVaa-TVjlwLdQ,Himanshu Kumar
UCvjYfFzRoF2MUGiDrjwYiug,http://www.youtube.com/channel/UCvjYfFzRoF2MUGiDrjwYiug,I AM AASTHA THAPA
UCvprvzcz_oBLadSctpv6HBA,http://www.youtube.com/channel/UCvprvzcz_oBLadSctpv6HBA,rachspeed
UCvvz44J7wNn7InBMkq0tq4Q,http://www.youtube.com/channel/UCvvz44J7wNn7InBMkq0tq4Q,That's Really Cool Man - Podcast Clips
UCw3eyA3edUq3AJkh8HFLD2Q,http://www.youtube.com/channel/UCw3eyA3edUq3AJkh8HFLD2Q,Deewane: IES & GATE Point
UCwCI06WrrkGr1VyhkQMFBlw,http://www.youtube.com/channel/UCwCI06WrrkGr1VyhkQMFBlw,ElleOfTheMills
UCwmFOfFuvRPI112vR5DNnrA,http://www.youtube.com/channel/UCwmFOfFuvRPI112vR5DNnrA,Vsauce3
UCwppdrjsBPAZg5_cUwQjfMQ,http://www.youtube.com/channel/UCwppdrjsBPAZg5_cUwQjfMQ,Charlie Puth
UCxmw73O5jf8po-p9G6Mm4Ng,http://www.youtube.com/channel/UCxmw73O5jf8po-p9G6Mm4Ng,Ready Set Pooja
UCxvFIGBSKxjxGMFrd0lwRgA,http://www.youtube.com/channel/UCxvFIGBSKxjxGMFrd0lwRgA,Piyush Jush
UCy0Pr5u-MwGXXzp_GDd4m_g,http://www.youtube.com/channel/UCy0Pr5u-MwGXXzp_GDd4m_g,Julie Nolke
UCyJ71vOew1gZAlKZ0MDPmFg,http://www.youtube.com/channel/UCyJ71vOew1gZAlKZ0MDPmFg,Shruti Enabling Voices
UCyPzaFh-rkYzDDvkKgcJryw,http://www.youtube.com/channel/UCyPzaFh-rkYzDDvkKgcJryw,Viswajit Chauhan
UCzWQYUVCpZqtN93H8RR44Qw,http://www.youtube.com/channel/UCzWQYUVCpZqtN93H8RR44Qw,Seeker

